Tabell 1
Variabelnavn;Visningstekst;Unik teknisk referanse;Mulige verdier;Felttype;Kodeverk;Kjernefelt;Identifiserbar;Gyldig fra og med skjemaversjon
BeslutningsInvolvering_2;21. Hvor inkludert eller ekskludert følte du deg i prosessen med beslutningstaking?;BeslutningsInvolvering_2;-1 = Velg verdi, 1 = Jeg følte meg veldig ekskludert (1), 2 = Jeg følte meg noe ekskludert (2), 3 = Jeg følte meg hverken ekskludert eller inkludert i prosessen med beslutningstaking (3), 4 = Jeg følte meg noe inkludert (4), 5 = Jeg følte meg veldig inkludert (5);Enum;;Nei;Nei;14
BeslutningsStoette_2;22. Hvor mye støtte følte du at du fikk i prosessen med beslutningstaking?;BeslutningsStoette_2;-1 = Velg verdi, 1 = Jeg følte at jeg ikke fikk støtte i det hele tatt (1), 2 = Jeg følte at jeg fikk liten støtte (2), 3 = Jeg følte meg hverken uten støtte eller støttet (3), 4 = Jeg følte at jeg fikk støtte (4), 5 = Jeg følte at jeg fikk mye støtte (5);Enum;;Nei;Nei;14
BeslutningsKontroll_2;23. Følte du at du hadde kontroll når det gjaldt ivaretakelsen av ditt familiemedlem?;BeslutningsKontroll_2;-1 = Velg verdi, 1 = Jeg følte at jeg ikke hadde noen som helst kontroll og helsevesenet tok over og dikterte den behandlingen som mitt familiemedlem fikk (1), 2 = Jeg følte at jeg ikke hadde full kontroll og at helsevesenet tok over og dikterte den behandlingen som mitt familiemedlem fikk (2), 3 = Jeg følte hverken at jeg hadde kontroll eller var uten kontroll (3), 4 = Jeg følte at jeg hadde noe kontroll over den behandlingen som mitt familiemedlem fikk (4), 5 = Jeg følte jeg hadde god kontroll over den behandlingen mitt familiemedlem fikk (5);Enum;;Nei;Nei;14
BeslutningsTid_2;24. Når det ble gjort beslutninger, hadde du tilstrekkelig tid til å ta opp dine bekymringer og få svar på dine spørsmål?;BeslutningsTid_2;-1 = Velg verdi, 1 = Jeg hadde klart behøvd mer tid (1), 2 = Tiden jeg hadde var noe utilstrekkelig (2), 3 = Tiden jeg hadde var tilstrekkelig (3), 4 = Tiden jeg hadde var mer enn tilstrekkelig (4), 5 = Tiden jeg hadde var betydelig mer enn tilstrekkelig (5);Enum;;Nei;Nei;14
LivsLengde_2;25. Hvilket av de følgende utsagn beskriver best dine synspunkter:;LivsLengde_2;-1 = Velg verdi, 1 = Jeg følte at livet til mitt familiemedlem ble unødvendig forlenget (1), 2 = Jeg følte at livet til mitt familiemedlem ble noe unødvendig forlenget (2), 3 = Jeg følte hverken at livet til mitt familiemedlem ble unødvendig forlenget eller forkortet (3), 4 = Jeg følte at livet til mitt familiemedlem ble noe unødvendig forkortet (4), 5 = Jeg følte at livet til mitt familiemedlem ble unødvendig forkortet (5);Enum;;Nei;Nei;14
LivssluttKomfor_2;26. I de siste timene ditt familiemedlem levde, hvilket av de følgende utsagn beskriver best dine synspunkter:;LivssluttKomfor_2;-1 = Velg verdi, 1 = Jeg følte at han/hun hadde det svært ukomfortabelt (1), 2 = Jeg følte at han/hun hadde det noe ukomfortabelt (2), 3 = Jeg følte at han/hun for det meste hadde det komfortabelt (3), 4 = Jeg følte at han/hun hadde det svært komfortabelt (4), 5 = Jeg følte at han/hun hadde det fullkomment komfortabelt (5);Enum;;Nei;Nei;14
LivssluttStoette_2;27. I de siste timene før ditt familiemedlem døde, hvilket av de følgende utsagn beskriver best dine synspunkter:;LivssluttStoette_2;-1 = Velg verdi, 1 = Jeg følte meg svært forlatt av helseteamet (1), 2 = Jeg følte meg noe forlatt av helseteamet (2), 3 = Jeg følte meg hverken forlatt eller støttet av helseteamet (3), 4 = Jeg følte meg støttet av helseteamet (4), 5 = Jeg følte meg svært støttet av helseteamet (5);Enum;;Nei;Nei;14
Kjoenn;Besvarers kjønn;Kjoenn;-1 = Velg verdi, 1 = Mann, 2 = Kvinne, 3 = Annet;Enum;;Nei;;10
Alder;Besvarers alder;Alder;;Number;;Nei;;10
PasientRelasjon;Besvarer er pasientens;PasientRelasjon;-1 = Velg verdi, 1 = Kone, 2 = Ektemann, 3 = Samboer, 4 = Mor, 5 = Far, 6 = Søster, 7 = Bror, 8 = Datter, 9 = Sønn, 10 = Annet;Enum;;Nei;;10
PasientRelasjonAnnet;Annet;PasientRelasjonAnnet;;String;;Nei;;10
IntensivAvdelingInvolvertFoer;Har du vært involvert som pårørende på en intensivavdeling før denne aktuelle innleggelsen?;IntensivAvdelingInvolvertFoer;-1 = Velg verdi, 1 = Ja, 2 = Nei;Enum;;Nei;;10
BorMedPasienten;Bor du sammen med pasienten?;BorMedPasienten;-1 = Velg verdi, 1 = Ja, 2 = Nei;Enum;;Nei;;10
HvorOfteSerDuPasienten;"Hvis nei; omtrent hvor ofte ser du pasienten";HvorOfteSerDuPasienten;-1 = Velg verdi, 0 = Mer enn ukentlig, 1 = Ukentlig, 2 = Månedlig, 3 = Årlig, 4 = Mindre enn en gang i året;Enum;;Nei;;10
HvorBorDu;Hvor bor du?;HvorBorDu;-1 = Velg verdi, 0 = I byen der sykehuset er lokalisert, 1 = Utenfor byen;Enum;;Nei;;10
HoeyesteFullfoerteUtdannelse;Hvilket av de følgende utsagn beskriver best det høyeste nivået av utdannelse som du har fullført?;HoeyesteFullfoerteUtdannelse;"-1 = Velg verdi, 0 = Fullførte ikke grunnskole eller videregående skole, 1 = Fullførte grunnskole og videregående skole, 2 = Har tatt noe universitetsutdanning eller har fullført en form for yrkesutdanning eller videreutdanning (for 
eksempel handel, tekniske fag eller yrkesrettet skole), 3 = Universitetsgrad (Bachelorgrad), 4 = Master eller Doktorgrad (MSc, PhD)";Enum;;Nei;Nei;14
